isbn,title,author,year,publisher,rating_sum
0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown",5750
0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday,4089
0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,3129
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,2761
0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,2579
0971880107,Wild Animus,Rich Shapero,2004,Too Far,2549
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial,2514
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books,2385
0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,2199
0671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star,2143
